#survey	data_release	source_name	schema_key
GALAH	Data Release 3	150427004801126	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004801131	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004801142	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004801172	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004801225	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004801275	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004801334	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004801352	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004801360	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004802092	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004802131	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004802142	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004802276	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150427004802360	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150207004601036	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151227005701302	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151110004701148	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151110004701301	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150101002501305	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151111002601228	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151228002602015	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	160125001601021	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151228002602053	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151228002602077	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151228002602088	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151228002602122	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150401004101098	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	160125001601112	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150208002701102	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151228002602173	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150411004601016	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	160125001601229	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151228002602276	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150411004601249	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151228002602387	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150108001501025	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150411004601396	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150108001501062	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150108001501072	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150108001501077	galah.dr3.spectra.hermes.spectrum_1d
